"County","total_fast_chargers","total_evs","evs_per_fast_charger"
"King","15","133746","8916.40"
"Benton","1","3564","3564.00"
"Skagit","1","3448","3448.00"
"Whatcom","3","6577","2192.33"
"Pierce","10","20276","2027.60"
"Franklin","1","1224","1224.00"
"Snohomish","33","35337","1070.82"
"Thurston","9","9067","1007.44"
"Clark","19","16730","880.53"
"Yakima","2","1698","849.00"
