EVCount,StationCount,TotalChargers,EVsPerCharger,CoverageGapFlag,StationKey,CalendarKey,GeographyKey,VehicleKey,ZipCode,City,County,State,Latitude,Longitude
858,3,5,171.6,1,15,1,85,1,98148,Burien,King,WA,,
1945,3,5,389.0,1,656,1,86,1,98155,Lake Forest Park,King,WA,,
27,0,0,0.0,1,0,1,87,1,98158,Seatac,King,WA,,
1,0,0,0.0,1,0,1,88,1,98160,Seattle,King,WA,,
1,13,22,0.05,0,695,1,89,1,98164,Seattle,King,WA,,
948,12,13,72.92,1,132,1,90,1,98166,Burien,King,WA,,
1160,3,14,82.86,1,604,1,91,1,98168,Burien,King,WA,,
1694,1,1,1694.0,1,2292,1,92,1,98177,Seattle,King,WA,,
994,1,1,994.0,1,2293,1,93,1,98178,Renton,King,WA,,
2955,38,252,11.73,1,2,1,94,1,98188,Seatac,King,WA,,
1,5,12,0.08,0,686,1,95,1,98195,Seattle,King,WA,,
980,9,21,46.67,1,159,1,96,1,98198,Des Moines,King,WA,,
1737,2,5,347.4,1,1292,1,97,1,98199,Seattle,King,WA,,
681,11,37,18.41,1,718,1,98,1,98201,Everett,Snohomish,WA,,
1015,9,19,53.42,1,619,1,99,1,98203,Everett,Snohomish,WA,,
837,9,15,55.8,1,42,1,100,1,98204,Everett,Snohomish,WA,,
5,0,0,0.0,1,0,1,101,1,98206,Everett,Snohomish,WA,,
2015,7,31,65.0,1,484,1,102,1,98208,Everett,Snohomish,WA,,
12,0,0,0.0,1,0,1,103,1,98220,Acme,Whatcom,WA,,
1058,15,29,36.48,1,521,1,104,1,98221,Anacortes,Skagit,WA,,
1044,11,37,28.22,1,205,1,105,1,98223,Arlington,Snohomish,WA,,
9,0,0,0.0,1,0,1,106,1,98224,Baring,King,WA,,
1566,22,58,27.0,1,106,1,107,1,98225,Bellingham,Whatcom,WA,,
1558,16,44,35.41,1,86,1,108,1,98226,Bellingham,Whatcom,WA,,
1604,8,21,76.38,1,13,1,109,1,98229,Bellingham,Whatcom,WA,,
692,5,34,20.35,1,84,1,110,1,98230,Blaine,Whatcom,WA,,
1,0,0,0.0,1,0,1,111,1,98231,Blaine,Whatcom,WA,,
178,1,4,44.5,1,2215,1,112,1,98232,Bow,Skagit,WA,,
442,11,45,9.82,0,108,1,113,1,98233,Burlington,Skagit,WA,,
4,0,0,0.0,1,0,1,114,1,98235,Clearlake,Skagit,WA,,
367,0,0,0.0,1,0,1,115,1,98236,Clinton,Island,WA,,
61,1,2,30.5,1,160,1,116,1,98237,Concrete,Skagit,WA,,
1,0,0,0.0,1,0,1,117,1,98238,Conway,Skagit,WA,,
366,2,4,91.5,1,1575,1,118,1,98239,Coupeville,Island,WA,,
43,0,0,0.0,1,0,1,119,1,98240,Custer,Whatcom,WA,,
30,1,2,15.0,1,1637,1,120,1,98241,Darrington,Snohomish,WA,,
4,0,0,0.0,1,0,1,121,1,98243,Deer Harbor,San Juan,WA,,
80,0,0,0.0,1,0,1,122,1,98244,Deming,Whatcom,WA,,
384,4,5,76.8,1,213,1,123,1,98245,Eastsound,San Juan,WA,,
115,1,1,115.0,1,1752,1,124,1,98247,Everson,Whatcom,WA,,
674,2,3,224.67,1,464,1,125,1,98248,Ferndale,Whatcom,WA,,
300,1,2,150.0,1,337,1,126,1,98249,Freeland,Island,WA,,
595,11,18,33.06,1,209,1,127,1,98250,Friday Harbor,San Juan,WA,,
143,0,0,0.0,1,0,1,128,1,98251,Gold Bar,Snohomish,WA,,
248,2,3,82.67,1,1756,1,129,1,98252,Granite Falls,Snohomish,WA,,
137,1,2,68.5,1,2324,1,130,1,98253,Coupeville,Island,WA,,
2,0,0,0.0,1,0,1,131,1,98255,Hamilton,Skagit,WA,,
3,0,0,0.0,1,0,1,132,1,98256,Index,Snohomish,WA,,
161,2,4,40.25,1,149,1,133,1,98257,La Conner,Skagit,WA,,
2405,2,6,400.83,1,504,1,134,1,98258,Lake Stevens,Snohomish,WA,,
370,3,6,61.67,1,343,1,135,1,98260,Langley,Island,WA,,
195,4,4,48.75,1,215,1,136,1,98261,Lopez Is,San Juan,WA,,
62,0,0,0.0,1,0,1,137,1,98262,Lummi Island,Whatcom,WA,,
2,0,0,0.0,1,0,1,138,1,98263,Lyman,Skagit,WA,,
368,1,1,368.0,1,1119,1,139,1,98264,Lynden,Whatcom,WA,,
61,0,0,0.0,1,0,1,140,1,98266,Maple Falls,Whatcom,WA,,
6,3,3,2.0,0,1315,1,141,1,98267,Marblemount,Skagit,WA,,
1758,2,2,879.0,1,1783,1,142,1,98270,Marysville,Snohomish,WA,,
739,15,39,18.95,1,471,1,143,1,98271,Marysville,Snohomish,WA,,
1347,4,20,67.35,1,60,1,144,1,98272,Monroe,Snohomish,WA,,
591,16,32,18.47,1,65,1,145,1,98273,Mount Vernon,Skagit,WA,,
541,1,2,270.5,1,2320,1,146,1,98274,Mount Vernon,Skagit,WA,,
1226,3,7,175.14,1,101,1,147,1,98275,Mukilteo,Snohomish,WA,,
13,0,0,0.0,1,0,1,148,1,98276,Nooksack,Whatcom,WA,,
804,3,5,160.8,1,1459,1,149,1,98277,Oak Harbor,Island,WA,,
63,1,1,63.0,1,214,1,150,1,98279,Olga,San Juan,WA,,
10,0,0,0.0,1,0,1,151,1,98280,Orcas,San Juan,WA,,
91,0,0,0.0,1,0,1,152,1,98281,Point Roberts,Whatcom,WA,,
752,2,7,107.43,1,586,1,153,1,98282,Camano Island,Island,WA,,
1,3,7,0.14,0,61,1,154,1,98283,Rockport,Skagit,WA,,
409,1,1,409.0,1,1319,1,155,1,98284,Sedro Woolley,Skagit,WA,,
20,0,0,0.0,1,0,1,156,1,98286,Shaw Island,San Juan,WA,,
11,3,6,1.83,0,110,1,157,1,98288,Skykomish,King,WA,,
1525,5,11,138.64,1,678,1,158,1,98290,Snohomish,Snohomish,WA,,
736,2,8,92.0,1,1605,1,159,1,98292,Stanwood,Snohomish,WA,,
361,1,3,120.33,1,136,1,160,1,98294,Index,Snohomish,WA,,
31,0,0,0.0,1,0,1,161,1,98295,Sumas,Whatcom,WA,,
1847,2,3,615.67,1,730,1,162,1,98296,Snohomish,Snohomish,WA,,
5,0,0,0.0,1,0,1,163,1,98297,Waldron,San Juan,WA,,
79,0,0,0.0,1,0,1,164,1,98303,Anderson Island,Pierce,WA,,
31,4,8,3.88,0,83,1,165,1,98304,Ashford,Pierce,WA,,
2,0,0,0.0,1,0,1,166,1,98305,Beaver,Clallam,WA,,
426,4,6,71.0,1,744,1,167,1,98310,Bremerton,Kitsap,WA,,
656,2,4,164.0,1,1420,1,168,1,98311,Bremerton,Kitsap,WA,,
1026,6,11,93.27,1,14,1,169,1,98312,Bremerton,Kitsap,WA,,
6,3,11,0.55,0,150,1,170,1,98314,Bremerton,Kitsap,WA,,
40,13,37,1.08,0,429,1,171,1,98315,Silverdale,Kitsap,WA,,
37,0,0,0.0,1,0,1,172,1,98320,Brinnon,Jefferson,WA,,
468,0,0,0.0,1,0,1,173,1,98321,Buckley,Pierce,WA,,
